custnum,saledate,Equipsales
131629,2018-12-01,109067
130682,2016-11-01,471909
140785,2016-09-01,155230
183594,2018-10-01,106913
220379,2016-08-01,103840
150250,2016-06-01,81715
243231,2016-10-01,135196.55
243231,2016-01-01,243398
256375,2018-11-01,130476
123477,2017-08-01,92828
143472,2017-08-01,79812.16
255962,2016-07-01,686674.07
122908,2018-05-01,266035
163053,2017-06-01,155252.1
155120,2016-05-01,97065
133357,2016-11-01,136055.92
222356,2015-09-01,184163
148638,2016-02-01,204864
155253,2017-05-01,109831
247158,2017-05-01,161235
223740,2017-12-01,313752
256375,2015-10-01,103373
123887,2017-11-01,115956
173086,2018-11-01,107458
120299,2017-06-01,129004
127441,2018-05-01,127060.04
226640,2016-01-01,196589.5
225746,2016-04-01,86801
255314,2016-03-01,169960
172748,2018-12-01,84841.61
138103,2018-06-01,107675
127441,2017-02-01,111581.22
148075,2017-05-01,106213
142705,2017-06-01,226156.17
147698,2015-04-01,83073
144572,2017-03-01,128446
165408,2017-12-01,147325
254702,2017-06-01,161906
700700,2015-10-01,93074
700700,2015-01-01,251491.46
152663,2017-07-01,412786.5
157190,2016-12-01,146524
123270,2019-02-01,77887
177662,2016-09-01,143697
200200,2016-07-01,188048
900900,2018-05-01,712936
152351,2015-10-01,147066.9
161122,2017-11-01,577715.82
104573,2017-03-01,153414.74
146351,2015-05-01,140079.5
120310,2015-04-01,594723
132544,2017-04-01,97510
155635,2016-07-01,78569.43
251382,2018-03-01,80902.6
179579,2018-03-01,150163
155946,2015-07-01,144507.12
238983,2017-06-01,115555.69
223316,2017-09-01,108526
223316,2015-07-01,192308
144527,2017-06-01,376007.6
126730,2016-11-01,163877
179579,2017-02-01,171786.32
155848,2016-07-01,3151721
129069,2017-04-01,119366.96
152351,2015-12-01,94608
155581,2017-11-01,91388.76
220379,2018-04-01,93867
250961,2015-11-01,156882
400400,2018-04-01,7345479.31
165803,2018-10-01,893059.84
165803,2018-01-01,862259.12
152351,2015-07-01,124540
152213,2017-06-01,358478.4
243231,2018-02-01,199838
121437,2017-04-01,77592
167479,2015-05-01,175154
251382,2018-04-01,114808.4
256259,2015-04-01,92348
245837,2016-07-01,80323
241670,2017-04-01,93668
171456,2016-06-01,84076
243250,2017-09-01,99767.24
172891,2018-08-01,156356.35
128874,2016-05-01,356622
140644,2015-05-01,113646.6
