custnum,saledate,Equipsales
120725,1/1/2017,694
120725,2/1/2017,7157
120725,3/1/2017,5577.81
120725,4/1/2017,6298
120725,5/1/2017,9913
120725,6/1/2017,7574
120725,7/1/2017,8164
120725,8/1/2017,13412
120725,9/1/2017,13794
120725,10/1/2017,6412
120725,11/1/2017,11714
120725,12/1/2017,4329
120725,1/1/2018,5713
120725,2/1/2018,8626
120725,3/1/2018,18197
120725,4/1/2018,19644
120725,5/1/2018,5187
120725,6/1/2018,17126
120725,7/1/2018,6129
120725,8/1/2018,11637
120725,9/1/2018,5161
120725,10/1/2018,16254
120725,11/1/2018,3393
120725,12/1/2018,6587
120725,1/1/2019,2144
121216,1/1/2014,15721
121216,2/1/2014,39397
121216,3/1/2014,116115
121216,4/1/2014,14986
121216,5/1/2014,54642
121216,6/1/2014,129767
121216,7/1/2014,85953
121216,8/1/2014,13199
121216,9/1/2014,37121
121216,10/1/2014,31246
121216,11/1/2014,83448
121216,12/1/2014,16781
121216,1/1/2015,21435
121216,2/1/2015,4119
121216,3/1/2015,61916
121216,4/1/2015,1
121216,5/1/2015,73513.5
121216,6/1/2015,57311.84
121216,7/1/2015,117766
121216,8/1/2015,47493
121216,9/1/2015,33147
121216,10/1/2015,11618
121216,11/1/2015,53394
121216,12/1/2015,211167
121216,1/1/2016,5161
121216,2/1/2016,5932
121216,3/1/2016,22811
121216,4/1/2016,12158.4
121216,5/1/2016,13821
121216,6/1/2016,39626
121216,7/1/2016,64697
121216,8/1/2016,21999
121216,9/1/2016,43754
121216,10/1/2016,32861
121216,11/1/2016,49227
121216,12/1/2016,19851
121216,1/1/2017,39965
121216,2/1/2017,15479
121216,3/1/2017,19131
121216,4/1/2017,31143
121216,5/1/2017,38711.75
121216,6/1/2017,69295
121216,7/1/2017,53723
121216,8/1/2017,26713
121216,9/1/2017,24316
121216,10/1/2017,12919
121216,11/1/2017,54861
121216,12/1/2017,34185
121216,1/1/2018,17855
121216,2/1/2018,13965
121216,3/1/2018,16516.33
121216,4/1/2018,22272
121216,5/1/2018,114561
121216,6/1/2018,62956
121216,7/1/2018,58393
121216,8/1/2018,48193
121216,9/1/2018,14764
121216,10/1/2018,54882
121216,11/1/2018,37146.75
121216,12/1/2018,17491
121216,1/1/2019,52745
122501,1/1/2014,1
122501,2/1/2014,1
122501,3/1/2014,1
122501,4/1/2014,1
122501,5/1/2014,1
122501,6/1/2014,1
122501,7/1/2014,1
122501,8/1/2014,1
122501,9/1/2014,1
122501,10/1/2014,1
122501,11/1/2014,1
122501,12/1/2014,1
122501,1/1/2015,1
122501,2/1/2015,1
122501,3/1/2015,1
122501,4/1/2015,1
122501,5/1/2015,1
122501,6/1/2015,1
122501,7/1/2015,1
122501,8/1/2015,1
122501,9/1/2015,1
122501,10/1/2015,1
122501,11/1/2015,1
122501,12/1/2015,1
122501,1/1/2016,1
122501,2/1/2016,1
122501,3/1/2016,1
122501,4/1/2016,1
122501,5/1/2016,1
122501,6/1/2016,1
122501,7/1/2016,1
122501,8/1/2016,1
122501,9/1/2016,1
122501,10/1/2016,1
122501,11/1/2016,1
122501,12/1/2016,1
122501,1/1/2017,1
122501,2/1/2017,1
122501,3/1/2017,1
122501,4/1/2017,1
122501,5/1/2017,1
122501,6/1/2017,1
122501,7/1/2017,1
122501,8/1/2017,1
122501,9/1/2017,1
122501,10/1/2017,1
122501,11/1/2017,1
122501,12/1/2017,1
122501,1/1/2018,13596
122501,2/1/2018,1
122501,3/1/2018,1
122501,4/1/2018,1
122501,5/1/2018,1
122501,6/1/2018,1
122501,7/1/2018,1
122501,8/1/2018,1
122501,9/1/2018,1
122501,10/1/2018,1
122501,11/1/2018,1
122501,12/1/2018,1
122501,1/1/2019,1
122835,1/1/2014,2998
122835,2/1/2014,1
122835,3/1/2014,578.17
122835,4/1/2014,935
122835,5/1/2014,5511.12
122835,6/1/2014,1192.12
122835,7/1/2014,1
122835,8/1/2014,2938
122835,9/1/2014,113
122835,10/1/2014,1
122835,11/1/2014,1
122835,12/1/2014,51.62
122835,1/1/2015,148.63
122835,2/1/2015,611.11
122835,3/1/2015,1
122835,4/1/2015,1
122835,5/1/2015,1
122835,6/1/2015,1
122835,7/1/2015,1
122835,8/1/2015,1
122835,9/1/2015,1
122835,10/1/2015,1
122835,11/1/2015,8718
122835,12/1/2015,156
122835,1/1/2016,1
122835,2/1/2016,1
122835,3/1/2016,1
122835,4/1/2016,39365
122835,5/1/2016,4248
122835,6/1/2016,15513
122835,7/1/2016,14311
122835,8/1/2016,9112
122835,9/1/2016,22458
122835,10/1/2016,1
122835,11/1/2016,11276
122835,12/1/2016,11511
122835,1/1/2017,5455
122835,2/1/2017,5861
122835,3/1/2017,25948
122835,4/1/2017,2726
122835,5/1/2017,46821
122835,6/1/2017,44991
122835,7/1/2017,24989
122835,8/1/2017,25846
122835,9/1/2017,7715
122835,10/1/2017,415
122835,11/1/2017,3111
122835,12/1/2017,519
122835,1/1/2018,2679
122835,2/1/2018,4513
122835,3/1/2018,4913
122835,4/1/2018,4287
122835,5/1/2018,29116
122835,6/1/2018,54149
122835,7/1/2018,13611
122835,8/1/2018,36794
122835,9/1/2018,1
122835,10/1/2018,23798
122835,11/1/2018,3581
122835,12/1/2018,12442
122835,1/1/2019,5943
123529,1/1/2014,11376
123529,2/1/2014,15889
123529,3/1/2014,11952
123529,4/1/2014,21112
123529,5/1/2014,15412
123529,6/1/2014,27188
123529,7/1/2014,19219
123529,8/1/2014,16885
123529,9/1/2014,18891
123529,10/1/2014,11116
123529,11/1/2014,753
123529,12/1/2014,5974
123529,1/1/2015,12728.78
123529,2/1/2015,8956
123529,3/1/2015,16546
123529,4/1/2015,18113
123529,5/1/2015,21635
123529,6/1/2015,31123
123529,7/1/2015,15842
123529,8/1/2015,19779
123529,9/1/2015,17513
123529,10/1/2015,14173
123529,11/1/2015,12315
123529,12/1/2015,14131
123529,1/1/2016,9493
123529,2/1/2016,14636
123529,3/1/2016,21127
123529,4/1/2016,11115
123529,5/1/2016,6554
123529,6/1/2016,8482
123529,7/1/2016,11342.87
123529,8/1/2016,9454
123529,9/1/2016,7314
123529,10/1/2016,454
123529,11/1/2016,1379
123529,12/1/2016,2939
123529,1/1/2017,3738
123529,2/1/2017,9533
123529,3/1/2017,138
123529,4/1/2017,6242
123529,5/1/2017,22117
123529,6/1/2017,9532
123529,7/1/2017,13185
123529,8/1/2017,11169
123529,9/1/2017,9718
123529,10/1/2017,11535
123529,11/1/2017,37179
123529,12/1/2017,2151
123529,1/1/2018,6895
123529,2/1/2018,3361
123529,3/1/2018,2247
123529,4/1/2018,6321
123529,5/1/2018,4231
123529,6/1/2018,8215
123529,7/1/2018,1695
123529,8/1/2018,6974
123529,9/1/2018,5951
123529,10/1/2018,2861
123529,11/1/2018,11327
123529,12/1/2018,5192
123529,1/1/2019,4269
123616,1/1/2014,2884.2
123616,2/1/2014,1
123616,3/1/2014,1
123616,4/1/2014,1
123616,5/1/2014,1
123616,6/1/2014,2891
123616,7/1/2014,1
123616,8/1/2014,342
123616,9/1/2014,1
123616,10/1/2014,1
123616,11/1/2014,1
123616,12/1/2014,1
123616,1/1/2015,1
123616,2/1/2015,1
123616,3/1/2015,1
123616,4/1/2015,1
123616,5/1/2015,1
123616,6/1/2015,3845.53
123616,7/1/2015,1
123616,8/1/2015,4135
123616,9/1/2015,2431
123616,10/1/2015,1
123616,11/1/2015,1
123616,12/1/2015,1
123616,1/1/2016,2127.14
123616,2/1/2016,1
123616,3/1/2016,1
123616,4/1/2016,1
123616,5/1/2016,6645
123616,6/1/2016,1
123616,7/1/2016,1
123616,8/1/2016,1
123616,9/1/2016,1811.87
123616,10/1/2016,1
123616,11/1/2016,1
123616,12/1/2016,1
123616,1/1/2017,8871.95
123616,2/1/2017,1
123616,3/1/2017,1
123616,4/1/2017,1
123616,5/1/2017,1
123616,6/1/2017,4216.33
123616,7/1/2017,3142
123616,8/1/2017,6615.14
123616,9/1/2017,1
123616,10/1/2017,1
123616,11/1/2017,1
123616,12/1/2017,1
123616,1/1/2018,3457
123616,2/1/2018,2479
123616,3/1/2018,872
123616,4/1/2018,2161
123616,5/1/2018,1
123616,6/1/2018,1861
123616,7/1/2018,9141
123616,8/1/2018,5717
123616,9/1/2018,5722
123616,10/1/2018,759
123616,11/1/2018,3888
123616,12/1/2018,2174
123616,1/1/2019,1
124886,1/1/2014,59995
124886,2/1/2014,56115
124886,3/1/2014,127753.8
124886,4/1/2014,56997.7
124886,5/1/2014,122829
124886,6/1/2014,111851.15
124886,7/1/2014,127158.47
124886,8/1/2014,89742.25
124886,9/1/2014,62383
124886,10/1/2014,88397.83
124886,11/1/2014,64235.17
124886,12/1/2014,54536.22
124886,1/1/2015,46161.34
124886,2/1/2015,131969.14
124886,3/1/2015,93641
124886,4/1/2015,59111.8
124886,5/1/2015,118871
124886,6/1/2015,166817
124886,7/1/2015,79268.52
124886,8/1/2015,87966
124886,9/1/2015,65996
124886,10/1/2015,43611
124886,11/1/2015,37113.84
124886,12/1/2015,74722.25
124886,1/1/2016,47878.5
124886,2/1/2016,149584
124886,3/1/2016,89943.79
124886,4/1/2016,181528
124886,5/1/2016,97214
124886,6/1/2016,214346.95
124886,7/1/2016,144117
124886,8/1/2016,151931.87
124886,9/1/2016,38569
124886,10/1/2016,127651.8
124886,11/1/2016,115259
124886,12/1/2016,38847
124886,1/1/2017,32931.15
124886,2/1/2017,181965.25
124886,3/1/2017,111921.7
124886,4/1/2017,169193.97
124886,5/1/2017,118236.7
124886,6/1/2017,218371.95
124886,7/1/2017,161239.6
124886,8/1/2017,115469.8
124886,9/1/2017,53835
124886,10/1/2017,134313.5
124886,11/1/2017,69381.6
124886,12/1/2017,64617.85
124886,1/1/2018,91611.41
124886,2/1/2018,199849.2
124886,3/1/2018,85892.15
124886,4/1/2018,88247.4
124886,5/1/2018,271638.19
124886,6/1/2018,185255.65
124886,7/1/2018,279618
124886,8/1/2018,128261.8
124886,9/1/2018,114298
124886,10/1/2018,119647
124886,11/1/2018,166652
124886,12/1/2018,124721
124886,1/1/2019,173112.34
124932,1/1/2014,1
124932,2/1/2014,997
124932,3/1/2014,312
124932,4/1/2014,1
124932,5/1/2014,1753
124932,6/1/2014,6727
124932,7/1/2014,411
124932,8/1/2014,1934
124932,9/1/2014,4829
124932,10/1/2014,97434
124932,11/1/2014,87583.3
124932,12/1/2014,84513
124932,1/1/2015,8676
124932,2/1/2015,9588.42
124932,3/1/2015,92811.27
124932,4/1/2015,19288
124932,5/1/2015,15517.21
124932,6/1/2015,42378.59
